Employer,Job Title/Position,Salary,Job Description,Status
FNTIO,Full-Stack Entwickler (m/w/d) - .NET und Cloud-Erfahrung 100% Remote,"$50,000 - $80,000","FNTIO steht an der Spitze der IT-Innovation und entwickelt zukunftsorientierte Cloud-Infrastrukturen. Wir kombinieren technische Exzellenz mit geschäftlichem Weitblick, um Unternehmen auf ihrem Weg der digitalen Transformation maßgeschneidert zu unterstützen. Im Zuge unserer Expansion suchen wir nun einen qualifizierten Full-Stack Entwickler (m/w/d) mit umfassenden Kenntnissen in .NET und Erfahrungen im Bereich AWS Cloud. Aufgaben Full-Stack-Lösungen unter Verwendung von .NET entwickeln und implementieren. Aktiv an der Gestaltung und Implementierung von Cloud-basierten Architekturen mittels AWS mitwirken. Hochwertigen, wiederverwendbaren Code erstellen. Applikationen hinsichtlich Performance, Skalierbarkeit und Benutzerfreundlichkeit optimieren. Eng mit Backend- und DevOps-Teams für eine nahtlose API- und Serviceintegration zusammenarbeiten. An Code-Reviews, Qualitätssicherungen und automatisierten Tests teilnehmen.< [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
FNTIO,Senior Cloud-Experte mit Spezialisierung auf AWS-Lösungen 100% Remote (m/w/d),"$90,000 - $140,000","FNTIO ist führend in der digitalen Transformation und Cloud-Technologie. Unser engagiertes Team von AWS-zertifizierten Experten bietet innovative und nachhaltige IT-Strategien, um unsere Kunden optimal zu unterstützen. Unsere Unternehmenskultur zeichnet sich durch Offenheit, Zusammenarbeit und kontinuierliches Lernen aus. Wir wissen, dass der Erfolg unseres Unternehmens auf den Fähigkeiten und dem Wohlbefinden unserer Mitarbeiter beruht. Aufgaben Entwicklung und Implementierung hochverfügbarer und skalierbarer Cloud-Infrastrukturen basierend auf AWS Durchführung von Cloud-Migrationsprojekten und Optimierung bestehender Cloud-Lösungen Enge Zusammenarbeit mit Kunden zur Erstellung maßgeschneiderter IT-Strategien Anwendung von Infrastructure as Code (IaC) zur Gewährleistung effizienter und automatisierter Prozesse Mentoring von Teammitgliedern und Durchführung von Workshops zur Weiterbildung in Cloud-Technologien Aktive [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Famedly GmbH,Rust Developer (m/f/d),"$50,000 - $80,000","Do you love challenges and want to make the healthcare industry more secure and digital? Then the position as Rust Developer (m/f/d) at Famedly could be perfect for you! Since Famedly's founding in 2019, we've focused on revolutionizing healthcare by digitizing medical communication in a privacy-compliant way. As a dynamic, remote-first startup with a growing, experienced team, we provide messaging software to healthcare facilities that improves treatment outcomes through seamless communication between doctors, nurses, and therapists. Famedly increases staff productivity while ensuring rapid adoption through integration with primary systems. Tasks As a Rust Developer (m/f/d) , you'll join our team of experienced Rust developers working on multiple open-source projects. We rely on open-source software, primarily Matrix and FHIR, to modernize healthcare. You'll focus on a specific greenfield Rust project. Through [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Family ACCESS of Newton,"Education Coordinator, Infant/Toddler & Preschool","$70,000 - $80,000","ELC Education Coordinator Family ACCESS of Newton is a community-based nonprofit supporting families through early childhood education, counseling, and family support services. For over 100 years, the organization has served thousands of families, regardless of their economic status, from Newton and neighboring towns. The word ACCESS is an acronym of the phrase ""A Center for Comprehensive Education and Support Services"", a phrase that clearly defines the organization's work in the community. Fo…",Currently Open
Fannie Mae,Senior Underwriter - LIHTC Proprietary Investments,"$90,000 - $140,000","Playing an essential role in the U.S. economy, Fannie Mae is foundational to housing finance. Here, your expertise can help fuel purpose-driven innovation that expands access to homeownership and affordable rental housing across the country. Join Fannie Mae to grow your career and help people find a place to call home. Job Description Since restarting its Low-Income Housing Tax Credit (LIHTC) platform in 2018, Fannie Mae has invested approximately $4.7 billion in proprietary and multi-investor funds. As a valued contributor on our dynamic team, you will be responsible for underwriting and closing investments through LIHTC proprietary funds. THE IMPACT YOU WILL MAKE The Senior Underwriter-LIHTC Proprietary Investments role will offer you the flexibility to make each day your own, while working alongside people who care so that you can deliver on the following responsibilities: Working with our syndicator partners, this role will struc [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Farm Service Agency,Agricultural Program Specialist,"$105,383 - $137,000","This position is located in the Farm Service Agency, Deputy Administrator for Farm Programs, Safety Net Division, Program Policy Branch. The incumbent will serve as an Agricultural Program Specialist with the primary responsibility of delivering and administering policies and procedures for programs assigned to DAFP. This position will primarily work on the Noninsured Disaster Assistance Program (NAP) and other crop disaster assistance programs assigned to the Disaster Assistance Section.",Currently Open
Farm Service Agency,County Executive Director,"$50,460 - $116,362",Responsible for directing and managing program and administrative operations for one or more counties.,Currently Open
Farm Service Agency,Director of Outreach,"$169,279 - $197,200",,Currently Open
Farm Service Agency,Information Management Specialist,"$143,913 - $187,093","This position is located in the Farm Service Agency, Farm Loan Programs, Program Operations and Appraisal Division. The duty location is negotiable after selection. The incumbent provides strategic leadership, oversight, and coordination for the nationwide delivery of information systems supporting the Agency's Farm Loan Programs. Responsible for guiding the development, implementation, and continuous improvement of program-related technologies, ensuring alignment with mission objectives.",Currently Open
Farm Service Agency,Management and Program Analyst,"$169,279 - $197,200","This position is located in the Farm Service Agency, Deputy Administrator for Farm Loan Programs, Program Operations and Appraisal Division. The duty location is negotiable after selection The selectee oversees the execution of organizational policies, procedures, and regulations. Responsible for staff management, coordination and execution of mission support programs that support organizational goals.",Currently Open
Farm Service Agency,SUPERVISORY LOAN SPECIALIST (AGRL),"$143,913 - $187,093","This position is located in the Farm Service Agency, Deputy Administrator Farm Loan Programs, Loan Servicing and Property Management Division, Guaranteed Loan Servicing Branch. Duty location is negotiable after selection. The incumbent works closely with the Division Director and Deputy Administrator in formulating and recommending broad plans, policies and procedures for administering guaranteed loan servicing programs.",Currently Open
Farm Service Agency,Supervisory Agricultural District Director,"$106,437 - $139,658",,Currently Open
Federal Acquisition Service,Chemical Engineer,"$90,968 - $145,468",,Currently Open
Federal Acquisition Service,IT Solutions Development Specialist,"$150,359 - $197,200",,Currently Open
Federal Acquisition Service,Mechanical Engineer,"$90,968 - $145,468",,Currently Open
Federal Aviation Administration,Aerospace Engineer (Instructor) (Temporary Opportunity ),"$94,544 - $146,571",,Currently Open
Federal Aviation Administration,Air Traffic Control Specialist (Direct Hire Enhanced CTI Program/E-CTI),"$46,560 - $175,785","This is an Air Traffic Control Specialist public notice for direct hiring authority for Enhanced Collegiate Training Initiative (E-CTI) program graduates only, or E-CTI students who are within 12 months of graduation. This announcement will serve as a resume repository that may be used to fill positions.",Currently Open
Federal Aviation Administration,Air Traffic Control Specialist (Direct Hire Enhanced CTI Program/E-CTI),"$47,026 - $177,543",,Currently Open
Federal Aviation Administration,"Air Traffic Control Specialist, Traffic Management Coordinator","$156,214 - $210,888","Ensures that traffic management instructions/restrictions are initiated in accordance with established procedures to maintain a safe and expeditious flow of traffic and minimize the impact of heavy flight demands. Assesses the facility's capacity and projects an acceptable level of traffic. Issues appropriate traffic flow restrictions to adjacent facilities, to space, hold, and reroute aircraft to distribute the flow of traffic and equalize workload among positions. Follows agency policy when implementing traffic management initiatives. Maintains awareness of the traffic flow, equipment status, airport/weather conditions, and traffic forecasts to ensure acceptable levels of traffic, mitigate delays, and avoid flights into undesirable atmospheric conditions. Maintains familiarization of all phases of facility operations and aeronautical/meteorological conditions. Maintains currency on required positions of operation. Works under the administrative supervision of the Supervisory Traffic",Currently Open
Federal Aviation Administration,Airport Certification and Safety Inspector,"$94,544 - $146,571",,Currently Open
Federal Aviation Administration,Aviation Safety Inspector  (Airworthiness Instructor),"$106,382 - $138,296","Conducts training programs for field personnel concerning regulations, policies, procedures, specialized training on airworthiness, surveillance, and certification of aircraft, airmen and air agencies.",Currently Open
Federal Aviation Administration,Aviation Safety Inspector  (GA Operations Instructor),"$106,382 - $138,296","Conducts training programs for flight standards inspectors and specialists concerning policies and procedures, and specialized training on aircraft and courses covering airworthiness, surveillance, and certification of airmen, agencies, and general aviation.",Currently Open
Federal Aviation Administration,"Aviation Safety Inspector (AW), Air Carrier Avionics - Assistant Principal Avionics Inspector (APAI)","$90,925 - $118,204",,Currently Open
Federal Aviation Administration,Aviation Safety Inspector (GA Avionics) (Assistant Principal Avionics Inspector),"$90,025 - $117,034",,Currently Open
Federal Aviation Administration,Aviation Safety Inspector (GA Operations) (Assistant Principal Operations Inspector),"$90,025 - $117,034",,Currently Open
Federal Aviation Administration,"Aviation Safety Inspector (GAO), Assistant Principal Operations Inspector (APOI)","$90,025 - $117,034",,Currently Open
Federal Aviation Administration,Aviation Safety Inspector (General Aviation Maintenance ),"$125,776 - $197,200",,Currently Open
Federal Aviation Administration,Aviation Safety Inspector (Operations),"$125,776 - $197,200",,Currently Open
Federal Aviation Administration,"Aviation Safety Inspector (Operations), Aircrew Program Manager (APM)- Flight Program","$107,446 - $139,684",,Currently Open
Federal Aviation Administration,Aviation Safety Inspector (Rotorcraft-Helicopter),"$90,025 - $117,034",,Currently Open
Federal Aviation Administration,Aviation Safety Inspector (Rotorcraft/Helicopter),"$106,382 - $138,296",,Currently Open
Federal Aviation Administration,Civil Engineer,"$94,544 - $146,571",,Currently Open
Federal Aviation Administration,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)","$68,863 - $82,154","This position is an entry-level Airway Transportation Systems Specialist (ATSS). All duties of an ATSS are tied to maintaining safe and efficient operating capacity of the vast and complex network or electronics systems required for the world's largest air traffic control and navigation system. ATSS personnel install, evaluate, maintain, modify and certify facilities, services and equipment that support the National Airspace System (NAS).",Currently Open
Federal Aviation Administration,"PUBLIC NOTICE - Airway Transportation Systems Specialist (G- ENV, RAD, NAV, AUT, COM & F ENTRY)","$68,863 - $82,154",,Currently Open
Federal Aviation Administration,Public Notice for Aerospace Engineer (Direct Hire),"$34,454 - $162,672","Direct hiring authority for the 0861 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",Currently Open
Federal Aviation Administration,Public Notice for Aerospace Engineer (Direct Hire),"$52,998 - $172,257","Direct hiring authority for the 0861 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",Currently Open
Federal Aviation Administration,Public Notice for Aerospace Engineer (Direct Hire),"$34,454 - $162,672",,Currently Open
Federal Aviation Administration,Public Notice for Air Traffic Control Specialist (Direct Hire),"$43,727 - $165,088","This is a public notice for direct hiring authority for Experienced Air Traffic Control Specialists, 2152 series positions. These positions are responsible for controlling live air traffic in support of public safety and our national air space. This announcement will serve as a resume repository that may be used to fill positions.",Currently Open
Federal Aviation Administration,Public Notice for Air Traffic Control Specialist (Direct Hire),"$47,026 - $177,543",,Currently Open
Federal Aviation Administration,Public Notice for General Engineer (Direct Hire),"$34,454 - $162,672","Direct hiring authority for the 0801 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",Currently Open
Federal Aviation Administration,Public Notice for General Engineer (Direct Hire),"$52,998 - $172,257","Direct hiring authority for the 0801 series is being used to fill this position. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",Currently Open
Federal Aviation Administration,Public Notice for General Engineer (Direct Hire),"$34,454 - $162,672",,Currently Open
Federal Aviation Administration,"Public Notice for General Inspection, Investigation, Enforcement, and Compliance (Direct Hire)","$52,998 - $172,257","Direct hiring authority for the 1801 series is being used to fill this position in the Federal Aviation Administration (FAA), Aviation Safety (AVS) organization. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",Currently Open
Federal Aviation Administration,"Public Notice for General Inspection, Investigation, Enforcement, and Compliance (Direct Hire)","$34,454 - $162,672","Direct hiring authority for the 1801 series is being used to fill this position in the Federal Aviation Administration (FAA) Aviation Safety (AVS) Organization. Public Notices serve as a resume repository, and positions may or may not be filled from this announcement.",Currently Open
Federal Aviation Administration,"Public Notice for General Inspection, Investigation, Enforcement, and Compliance (Direct Hire)","$52,998 - $172,257",,Currently Open
Federal Aviation Administration,"Supervisory Air Traffic Control Specialist, Operations Supervisor","$100,913 - $131,189","Supervises a staff of Air Traffic Control Specialists that is responsible for carrying out air traffic control assignments within a geographic area. Plans and assigns work to be accomplished by subordinate employees. Sets work priorities and schedules. Approves leave; gives advice, counsel, and instruction to employees on both work and administrative matters. Evaluates performance of employees and recommends performance ratings. Hears and resolves complaints from employees and refers group grievances and more serious unresolved complaints to a higher level manager. Identifies and arranges for developmental and other training needs of employees. Finds ways to improve production or increase the quality of the work directed. Adjusts staffing levels and work procedures to accommodate resource decisions made at higher levels. Recommends goals and objectives for the area and tracks accomplishments. Communicates and reinforces diversity and EEO policies and programs in all areas of responsibi",Currently Open
Federal Aviation Administration,Supervisory Aviation Safety Inspector,"$110,673 - $214,492",,Currently Open
Federal Aviation Administration,Supervisory Aviation Safety Inspector (Front Line Manager),"$94,544 - $146,571",,Currently Open
Federal Aviation Administration,Supervisory Medical Officer  (Regional Flight Surgeon),"$156,392 - $211,175",,Currently Open
Federal Aviation Administration,Technical Operations (AJW) Airway Transportation Systems Specialist Employee Requested Reassignment,"$46,366 - $146,571",This announcement is for FAA permanent employees requesting an Employee Requested Reassignment (ERR) into a 2101 position in Technical Operations. This announcement will not be used for promotions.,Currently Open
Federal Aviation Administration,Technical Operations (AJW) Airway Transportation Systems Specialist Employee Requested Reassignment,"$46,366 - $146,571",,Currently Open
Federal Bureau of Investigation,Electronics Technician,"$43,106 - $68,549",,Currently Open
Federal Bureau of Investigation,Electronics Technician Trainee,"$43,106 - $56,039",,Currently Open
Federal Bureau of Investigation,Special Agent -  Accounting/Finance Background,"$99,461 - $128,329","FBI Special Agents apply their professional expertise and unique skill sets to their work every day. Many come from professional backgrounds, such as finance and accounting, which helps ensure accountability, identify criminal activity, uncover hidden assets and connect the dots to trace transactions to their source. Your diversified financial skills can significantly contribute to all areas of crime solving, from counterintelligence and cybersecurity to organized crime and terrorism.",Currently Open
Federal Bureau of Investigation,Special Agent -  Accounting/Finance Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - Current Federal 1811s Only,"$99,461 - $164,785","As an experienced federal criminal investigator, you know that true leadership is not defined by a title. It is measured by the impact of your casework, the partnerships you strengthen, and the reputation you bring. The FBI's Advanced Special Agent Training (ASAT) recognizes the depth of your federal experience and accelerates your progression with a 9-week (condensed from 18-weeks), fast-tracked program while maintaining the rigor, discipline, and standards the FBI is known for.",Currently Open
Federal Bureau of Investigation,Special Agent - Current Federal 1811s Only,"$99,461 - $164,785",,Currently Open
Federal Bureau of Investigation,Special Agent - Cybersecurity/Technology Background,"$99,461 - $128,329","FBI Special Agents apply their professional experience and unique skill sets to their work every day. Because technology permeates every aspect of what we do, our Special Agents come from all IT backgrounds: network information, cybersecurity, computer science, digital forensics and other technical specialties. We need professionals experienced in network security, computer science and software engineering to prevent cybercrimes, data theft, ransomware and other attacks to our national security.",Currently Open
Federal Bureau of Investigation,Special Agent - Cybersecurity/Technology Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - Education/Teaching Background,"$99,461 - $128,329","FBI Special Agents apply their professional expertise and unique skill sets to their work every day. Many come from professional backgrounds, such as education. Your methodical and analytical ability to simplify complex material and present it with clear explanations is highly valued at the FBI. Your education experience, whether K-12 or higher, can easily translate to a Special Agent career, where you'll enhance your team by identifying threats and building relationships with communities.",Currently Open
Federal Bureau of Investigation,Special Agent - Education/Teaching Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - Healthcare Services/Medical Background,"$99,461 - $128,329","FBI Special Agents apply their professional experience and unique skill sets to their work in staying ahead of the next threat. This includes previous roles in medical fields such as Nurses, Therapists and other healthcare professionals. We need Special Agents who are logical thinkers with prior scientific work experience and knowledge to aid in investigations of healthcare fraud, insurance and government program abuse, and evidence collection.",Currently Open
Federal Bureau of Investigation,Special Agent - Healthcare Services/Medical Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - Law Enforcement/ Military Background,"$99,461 - $128,329","As an FBI Special Agent, you will channel your expertise to protect our nation from cyberattacks, terrorism, fraud, and evolving threats. From conducting high-stakes investigations to leveraging your in-depth knowledge to uncover crucial information, your skills are essential to investigating crimes that threaten public safety. Your transition from a specialized career to special agent will be transformative, utilizing your expertise to tackle national security challenges in innovative ways.",Currently Open
Federal Bureau of Investigation,Special Agent - Law Enforcement/ Military Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - Law/Legal Background,"$99,461 - $128,329","FBI Special Agents apply their professional expertise and unique skill sets to their work every day. Many come from legal/criminal investigation backgrounds, advising on law enforcement and intelligence operations, investigations and policies. Your expertise could apply to matters of national security, litigation and support, administrative, investigative, technology, contract law, information law, legal instruction, counterterrorism, counterintelligence, cyber matters and foreign intelligence.",Currently Open
Federal Bureau of Investigation,Special Agent - Law/Legal Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - Linguists/Foreign Language Background,"$99,461 - $128,329","FBI Special Agents apply their professional expertise and unique skill sets to their work every day. Many have foreign language/linguistics backgrounds and use them to interview victims, translate during a suspect interrogation or testify in court. Language skills and cultural knowledge, specifically in Arabic, Bosnian, Chinese, Farsi, Russian, Somali, Uzbek, Korean or another language are highly sought after by the FBI. All applicants must pass the FBI's Foreign Language Test Battery.",Currently Open
Federal Bureau of Investigation,Special Agent - Linguists/Foreign Language Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - Psychology/Counseling Background,"$99,461 - $128,329","FBI Special Agents apply their professional experience and unique skill sets to their work. Many come from professional backgrounds such as psychology, forensic psychology, counseling and social work. Your social science background could significantly contribute to our work by analyzing motives and providing professional insight to help keep people safe. Join us and bring your understanding of human behavior to the FBI.",Currently Open
Federal Bureau of Investigation,Special Agent - Psychology/Counseling Background,"$99,461 - $128,329",,Currently Open
Federal Bureau of Investigation,Special Agent - STEM Background,"$99,461 - $128,329","FBI Special Agents apply their professional expertise and unique skill sets to their work every day. Many come from professional backgrounds, including STEM. Because technology permeates every aspect of what we do, we need logical thinkers experienced in network security, computer science, software engineering, mathematical formulation and more. You can also become a Technically Trained Agent or a part of our Computer Analysis Response Teams.",Currently Open
Federal Bureau of Investigation,Special Agent - STEM Background,"$99,461 - $128,329",,Currently Open
Federal Emergency Management Agency,Volunteer Force (DOW Detail),"$25,684 - $191,900","The Department of Homeland Security (DHS) Volunteer Force (VF) provides Department of War civilian employees an opportunity to support Immigration and Customs Enforcement (ICE) and Customs and Border Protection (CBP) in their commitment to ensuring a safe and orderly immigration system. Volunteers will serve in critical support roles up to 180 days at an ICE or CBP facility. Travel, lodging, and per diem will be reimbursed in accordance with policy by the receiving agency.",Currently Open
Federal Emergency Management Agency,Volunteer Force (DOW Detail),"$25,684 - $191,900",,Currently Open
Federal Reserve Bank of Boston,Main Street Risk Manager,"$50,000 - $80,000","Job Description Main Street Risk Manager The Bank & Main Street Lending Program As part of the Central bank of the United States, the Boston Fed works to promote sound growth and financial stability in New England and the nation. We contribute to communities, the region, and the nation by conducting economic research, participating in monetary policy-making, supervising certain financial institutions, providing financial services and payments, playing a leadership role in the payments industry, and supporting economic well-being in communities through a variety of efforts. The Main Street Lending Program is designed to provide support to small and medium-sized businesses and their employees across the United States during the current period of financial strain by supporting the provision of credit to such businesses. The availability of additional credit is intended to help companies that were in sound financial condition prior to the onset of the COVID-19 pandemic maintain their opera [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Federal Transit Administration,General Engineer (Safety) (Open to both U.S. Citizens and Federal Employees),"$107,103 - $195,200","This position serves as a liaison between FTA Headquarters and the Regional Office (TRO) performing a myriad of safety, oversight and compliance activities to advance FTA’s safety mission. The position may work with recipients, Regional and HQ staff on safety and enforcement concerns discovered in the program areas. This position coordinates with stakeholders to provide information for safety compliance in program areas during technical compliance reviews, and for related safety activities.",Currently Open
Federal Transit Administration,Program Manager (Safety) - SME (Open to both U.S. Citizens and Federal Employees),"$107,103 - $195,200","This position serves as a liaison between FTA Headquarters and the Regional Office (TRO) performing a myriad of safety, oversight and compliance activities to advance FTA’s safety mission. The position may work with recipients, Regional and HQ staff on safety and enforcement concerns discovered in the program areas. This position coordinates with stakeholders to provide information for safety compliance in program areas during technical compliance reviews, and for related safety activities.",Currently Open
Feldspar & Flint,Currency Services Agent,"$63,216","Job Description Job Description Feldspar & Flint LLC is a NYC metro-based Talent Consulting firm that specializes in operational strategy across core business functions. We are looking for an FX Currency Administration Client Service Representative to be responsible for daily production and client support for Currency Administration mandates. This role requires strong attention to detail, adherence to established procedures, and effective communication to ensure all client deliverables are met …",Currently Open
Fetch,Senior Machine Learning Engineer,"$140,000 - $200,000","What we're building and why we're building it.Â Every month, millions of people use Fetch earning rewards for buying brands they love, and a whole lot more. Whether shopping in the grocery aisle, grabbing a bite at the drive-through or playing a favorite mobile game, Fetch empowers consumers to live rewarded throughout their day. To date, we've delivered more than $1 billion in rewards and earned more than 5 million five-star reviews from happy users.Â It's not just our users who believe in Fetch: with investments from SoftBank, Univision, and Hamilton Lane, and partnerships ranging from challenger brands to Fortune 500 companies, Fetch is reshaping how brands and consumers connect in the marketplace. When you work at Fetch, you play a vital role in a platform that drives brand loyalty and creates lifelong consumers with the power of Fetch points. User and partner success are at the heart of everything we do, and we extend that same commitment t [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fi,Fi Senior Embedded Software Engineer,"$120,000 - $180,000","Welcome to Fi. We're a passionate team from Square, Google, TikTok, Peloton, Uber, and more working to transform the human-pet relationship. Our mission? Develop cutting-edge technology to revolutionize what it means to be a pet parent. The pet industry remains firmly stuck in the past and we are here to change that. Fi is leveraging our team's talent and expertise to improve the lives of millions of pets in the U.S. Real-time location tracking, activity, sleep and behavior monitoring â and that's just the beginning. The most exciting aspect of our work? Bridging the communication gap between pets and humans. Imagine a world where everyone knows how their pet feels in real time and how to keep their best friend in good shape. That's the future we're building at Fi. If you're someone who thrives in innovative, collaborative work environments and feels strongly about helping pets live longer, better lives, Fi could be the perfect fit. Join us in our pursuit of the ""impossible,"" or as<b [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,"Analyst, Fidelity Consulting","$50,000 - $80,000","Job Description: Analyst, Fidelity Consulting The Role As an Analyst, you will provide your expertise meaningfully to projects that seek to tackle Fidelity's most pressing business challenges. You will: deliver discreet analyses and research, contribute to breakdown and synthesis of problems, and offer your points of view towards a broader business conversation, all while working reciprocally in a team setting. In addition to project work, you will be given opportunity to partake in independent or small group projects to develop creative new ideas for Fidelity. The Expertise & Skills you bring You hold a bachelor's degree You have 2-3 years of work experience; prior management consulting, strategy, financial services or similar experience preferred Experience with team project work, general management, and/or analytics and conceptual problem solving Ana [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,Associate Actuary,"$55,000 - $85,000","Job Description: Associate Actuary Fidelity Investments Life Insurance Company (FILI) is looking for an Associate Actuary to help drive our future state of reserve modeling and valuation for our life and annuity products. Be part of a team with wide-ranging strengths that builds, promotes, and supports Fidelity's outstanding future state experience! The Role As Associate Actuary, you support reserve valuation for all products focusing on the development, enhancement, and governance of actuarial models used for determining reserves, Risk Based Capital and assessment of reserve adequacy for this business. You also provide in-depth analysis to support annual certifications of reserves and reserve adequacy. Model actuarial values including principle-based reserves (PBR), and ensure compliance of reserves with applicable regulations and Actuarial Standards of Practice Research, understand, impleme [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,"Client Support Specialist - Greater Detroit, MI Area (REMOTE)","$45,000 - $70,000","Job Description: To be eligible for consideration of this role, your primary residence must be located within a 90 mile radius at the time of application from the approved branch sites listed below: Novi, Farmington, Ann Arbor, Grand Rapids, Troy, Grand Blanc As a Client Support Specialist, you will be an integral part of a fast-paced, team oriented environment that is focused on enhancing relationships with our high net worth clients who have assets of $250,000 to $1 million and therefore a complex service and investment need. In this role, you will help us to increase customer loyalty and drive business development opportunities. The Team While every Fidelity location has distinctive regional characteristics, each one embodies the core values that have been instrumental in building our proud past. Putting the customer first, respect, integrity, honesty, innovation and improvement as well [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,"Client Support Specialist - Greater Kansas City, MO Area (REMOTE)","$45,000 - $70,000","Job Description: To be eligible for consideration of this role, your primary residence must be located within a 90 mile radius at the time of application from the approved branch sites listed below: Overland Park As a Client Support Specialist, you will be an integral part of a fast-paced, team oriented environment that is focused on enhancing relationships with our high net worth clients who have assets of $250,000 to $1 million and therefore a complex service and investment need. In this role, you will help us to increase customer loyalty and drive business development opportunities. The Team While every Fidelity location has distinctive regional characteristics, each one embodies the core values that have been instrumental in building our proud past. Putting the customer first, respect, integrity, honesty, innovation and improvement as well as competitiveness are values shared across th [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,"Client Support Specialist - Greater St. Louis, MO Area (REMOTE)","$45,000 - $70,000","Job Description: To be eligible for consideration of this role, your primary residence must be located within a 90 mile radius at the time of application from the approved branch sites listed below: Edina, Oakdale, Minnetonka, Brookfield, Middleton As a Client Support Specialist, you will be an integral part of a fast-paced, team oriented environment that is focused on enhancing relationships with our high net worth clients who have assets of $250,000 to $1 million and therefore a complex service and investment need. In this role, you will help us to increase customer loyalty and drive business development opportunities. The Team While every Fidelity location has distinctive regional characteristics, each one embodies the core values that have been instrumental in building our proud past. Putting the customer first, respect, integrity, honesty, innovation and impro [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,"Consultant, Fidelity Consulting","$90,000 - $150,000","Job Description: Job Description Consultant, Fidelity Consulting The Role As a Consultant, you will partner to drive projects that seek to tackle Fidelity's most pressing business challenges. The Consultant works on an all-star team in support of Fidelity's business challenges and emerging initiatives You will: contribute and deliver discreet analyses and research, contribute to breakdown and synthesis of problems, and offer your points of view towards a broader business conversation. The Expertise & Skills y ou b ring You hold a bachelor's degree You have 3-5 years of work experience; prior management consulting, strategy, financial services or similar experience preferred Experience with team project work, general management, and/or analytics and conceptual problem solving [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,"Director, Architecture","$200,000 - $350,000","Job Description: Solutions Architect, Front End Hiring for multiple positions and experiences ranges, placement is based on your background. At Fidelity Enterprise Architecture (FEA), we are seeking an experienced User Experience Architect to drive end-to-end architecture for the Brokerage business domain. In this role, you will work directly with product teams across the retail investing space (brokerage accounts, managed services, banking services, etc) and the workplace investing space (401ks, health-insurance related accounts, etc) to design solutions that meet business priorities and initiatives. What you will be responsible for This role will be a very hands-on role driving the overall technical and experience architecture. You will be responsible for all aspects of the solution, from security to data strategy, and work closely with all areas of engineering to best align architectu [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
Fidelity Investments,"Director, Legal & Licensing Negotiation","$200,000 - $350,000","Job Description: The Role Relying on strong legal, communication and organizational skills, the Director of Legal & Licensing Negotiation will assist and counsel a team of Vendor Managers for a portfolio of critical market data third-party providers used throughout Fidelity Investments. Collaborating with business partners and Vendor Managers, the Legal & Licensing Director will review, edit, and help negotiate market data contracts, and will help to protect Fidelity by ensuring we are adhering to contractual license requirements. You will work closely with Business Unit Subject Matter Experts, key stakeholders, and Vendor Managers. Specific job-related tasks you will be responsible for: Draft and negotiate complex contractual arrangements with sophisticated parties in strict accordance with Firm contracting standards and procedures to protect legal and corporate interests Partnering with Vendor Managers to advise [Salary estimated based on job title and Boston/Cambridge market data]",Currently Open
